date,BAGUETTE,BANETTE,BOULE 400G,CAMPAGNE,CEREAL BAGUETTE,COOKIE,CROISSANT,ECLAIR,PAIN AU CHOCOLAT,SPECIAL BREAD,TARTELETTE,TRADITIONAL BAGUETTE
2021-10-16,27.0,30.0,25.0,5.0,7.0,6.0,48.0,4.0,23.0,6.0,1.0,165.0
2021-10-17,49.0,37.0,10.0,7.0,7.0,5.0,83.0,12.0,58.0,8.0,19.0,208.0
2021-10-18,28.0,21.0,4.0,5.0,9.0,1.0,18.0,1.0,8.0,6.0,1.0,87.0
2021-10-19,19.0,26.0,6.0,2.0,4.0,7.0,22.0,0.0,23.0,1.0,3.0,143.0
2021-10-20,14.0,13.0,5.0,1.0,4.0,4.0,19.0,1.0,20.0,2.0,7.0,111.0
2021-10-21,33.0,27.0,6.0,5.0,4.0,5.0,24.0,2.0,19.0,6.0,11.0,123.0
2021-10-22,31.0,26.0,2.0,2.0,2.0,1.0,26.0,0.0,21.0,6.0,8.0,118.0
2021-10-23,48.0,32.0,10.0,9.0,15.0,14.0,48.0,4.0,45.0,1.0,7.0,216.0
2021-10-24,54.0,61.0,8.0,11.0,15.0,6.0,96.0,19.0,68.0,10.0,19.0,252.0
2021-10-25,40.0,34.0,6.0,6.0,17.0,10.0,25.0,4.0,26.0,8.0,7.0,150.0
2021-10-26,38.0,42.0,8.0,8.0,11.0,10.0,41.0,5.0,39.0,7.0,4.0,182.0
2021-10-27,23.0,32.0,8.0,6.0,13.0,9.0,21.0,10.0,47.0,6.0,6.0,185.0
2021-10-28,24.0,36.0,11.0,9.0,15.0,8.0,22.0,2.0,28.0,8.0,4.0,191.0
2021-10-29,38.0,29.0,6.0,10.0,17.0,3.0,30.0,0.0,42.0,11.0,8.0,171.0
2021-10-30,46.0,57.0,11.0,13.0,15.0,8.0,69.0,16.0,45.0,15.0,11.0,257.0
2021-10-31,55.0,91.0,16.0,10.0,18.0,7.0,119.0,29.0,96.0,10.0,28.0,369.0
2021-11-01,31.0,67.0,14.0,9.0,19.0,3.0,46.0,22.0,76.0,12.0,26.0,359.0
2021-11-02,27.0,27.0,12.0,3.0,17.0,4.0,38.0,7.0,38.0,8.0,4.0,184.0
2021-11-03,47.0,33.0,3.0,12.0,18.0,8.0,25.0,0.0,20.0,9.0,10.0,177.0
2021-11-04,25.0,50.0,2.0,2.0,10.0,4.0,25.0,15.0,20.0,7.0,5.0,160.0
2021-11-05,33.0,22.0,5.0,5.0,16.0,2.0,33.0,5.0,23.0,6.0,9.0,159.0
2021-11-06,27.0,36.0,5.0,4.0,12.0,3.0,49.0,5.0,59.0,7.0,6.0,196.0
2021-11-07,31.0,41.0,4.0,7.0,12.0,2.0,57.0,18.0,44.0,8.0,15.0,174.0
2021-11-08,62.0,19.0,3.0,23.0,4.0,1.0,17.0,1.0,30.0,5.0,4.0,85.0
2021-11-09,43.0,17.0,2.0,5.0,8.0,5.0,14.0,1.0,12.0,6.0,7.0,92.0
2021-11-10,17.0,30.0,6.0,5.0,11.0,5.0,16.0,5.0,29.0,5.0,9.0,96.0
2021-11-11,30.0,39.0,7.0,7.0,9.0,5.0,53.0,4.0,41.0,8.0,6.0,175.0
2021-11-12,16.0,27.0,8.0,5.0,10.0,6.0,14.0,4.0,19.0,5.0,3.0,105.0
2021-11-13,25.0,30.0,5.0,5.0,10.0,6.0,33.0,11.0,21.0,7.0,12.0,141.0
2021-11-14,38.0,37.0,10.0,8.0,9.0,3.0,81.0,6.0,70.0,5.0,13.0,175.0
2021-11-15,27.0,26.0,5.0,1.0,9.0,3.0,28.0,3.0,3.0,4.0,0.0,89.0
2021-11-16,16.0,13.0,4.0,3.0,4.0,5.0,18.0,0.0,19.0,3.0,2.0,70.0
2021-11-18,20.0,25.0,1.0,5.0,10.0,1.0,21.0,0.0,13.0,5.0,7.0,84.0
2021-11-19,26.0,15.0,4.0,3.0,1.0,7.0,28.0,0.0,13.0,6.0,5.0,98.0
2021-11-20,38.0,30.0,3.0,2.0,3.0,2.0,44.0,5.0,32.0,7.0,3.0,112.0
2021-11-21,36.0,29.0,4.0,2.0,5.0,3.0,69.0,9.0,44.0,5.0,17.0,171.0
2021-11-22,14.0,19.0,0.0,4.0,8.0,4.0,17.0,3.0,12.0,3.0,1.0,81.0
2021-11-23,23.0,17.0,4.0,5.0,5.0,1.0,4.0,0.0,16.0,5.0,2.0,68.0
2021-11-25,25.0,30.0,6.0,3.0,10.0,4.0,20.0,0.0,12.0,5.0,3.0,85.0
2021-11-26,18.0,13.0,4.0,1.0,9.0,5.0,3.0,6.0,16.0,5.0,3.0,90.0
2021-11-27,35.0,21.0,2.0,3.0,4.0,3.0,21.0,0.0,21.0,8.0,11.0,118.0
2021-11-28,45.0,35.0,6.0,1.0,9.0,2.0,87.0,7.0,64.0,10.0,26.0,143.0
2021-11-29,28.0,16.0,5.0,4.0,5.0,6.0,16.0,0.0,19.0,5.0,1.0,84.0
2021-11-30,21.0,14.0,5.0,4.0,7.0,1.0,17.0,5.0,22.0,6.0,9.0,94.0
2021-12-02,16.0,16.0,1.0,4.0,6.0,4.0,19.0,3.0,18.0,5.0,2.0,68.0
2021-12-03,27.0,14.0,4.0,1.0,6.0,12.0,33.0,0.0,31.0,6.0,3.0,60.0
2021-12-04,20.0,26.0,3.0,4.0,7.0,8.0,11.0,0.0,21.0,6.0,6.0,107.0
2021-12-05,40.0,30.0,10.0,10.0,10.0,4.0,72.0,13.0,47.0,12.0,16.0,148.0
2021-12-09,21.0,19.0,3.0,3.0,8.0,2.0,39.0,0.0,16.0,2.0,0.0,54.0
2021-12-10,18.0,8.0,1.0,0.0,10.0,6.0,10.0,2.0,25.0,6.0,4.0,76.0
2021-12-11,33.0,19.0,5.0,5.0,2.0,7.0,34.0,1.0,39.0,6.0,3.0,111.0
2021-12-12,33.0,41.0,7.0,1.0,10.0,6.0,70.0,15.0,48.0,10.0,12.0,139.0
2021-12-13,19.0,25.0,3.0,3.0,8.0,3.0,13.0,2.0,11.0,4.0,4.0,82.0
2021-12-14,18.0,15.0,6.0,4.0,9.0,4.0,27.0,1.0,18.0,6.0,6.0,78.0
2021-12-16,19.0,14.0,1.0,5.0,5.0,5.0,24.0,0.0,17.0,8.0,9.0,81.0
2021-12-17,30.0,26.0,6.0,5.0,3.0,3.0,42.0,4.0,43.0,7.0,3.0,95.0
2021-12-18,36.0,24.0,4.0,5.0,3.0,8.0,36.0,4.0,28.0,8.0,4.0,127.0
2021-12-19,35.0,31.0,4.0,5.0,20.0,2.0,75.0,8.0,62.0,9.0,12.0,186.0
2021-12-20,26.0,26.0,8.0,3.0,14.0,3.0,35.0,6.0,34.0,12.0,3.0,111.0
2021-12-21,27.0,29.0,5.0,5.0,11.0,10.0,35.0,2.0,33.0,7.0,6.0,116.0
2021-12-22,18.0,30.0,3.0,5.0,20.0,8.0,15.0,0.0,16.0,8.0,2.0,121.0
2021-12-23,29.0,25.0,3.0,7.0,18.0,10.0,32.0,6.0,29.0,12.0,4.0,139.0
2021-12-24,36.0,42.0,19.0,23.0,16.0,9.0,36.0,3.0,37.0,18.0,17.0,333.0
2021-12-25,32.0,30.0,12.0,5.0,8.0,4.0,72.0,0.0,61.0,9.0,0.0,225.0
2021-12-26,32.0,34.0,42.0,15.0,20.0,10.0,66.0,10.0,59.0,12.0,3.0,245.0
2021-12-27,36.0,33.0,6.0,4.0,19.0,1.0,25.0,1.0,37.0,11.0,1.0,201.0
2021-12-28,41.0,43.0,5.0,9.0,17.0,7.0,36.0,0.0,27.0,11.0,5.0,159.0
2021-12-29,35.0,30.0,3.0,8.0,9.0,1.0,25.0,5.0,38.0,10.0,0.0,145.0
2021-12-30,29.0,26.0,2.0,8.0,13.0,7.0,29.0,10.0,22.0,10.0,6.0,179.0
2021-12-31,49.0,41.0,15.0,11.0,20.0,8.0,50.0,8.0,30.0,16.0,9.0,251.0
2022-01-02,55.0,67.0,12.0,11.0,16.0,6.0,69.0,16.0,71.0,14.0,0.0,274.0
2022-01-03,15.0,14.0,5.0,2.0,9.0,10.0,17.0,8.0,22.0,6.0,0.0,127.0
2022-01-04,1.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,6.0,2.0,0.0,27.0
2022-01-06,23.0,23.0,4.0,5.0,4.0,11.0,28.0,2.0,23.0,7.0,7.0,78.0
2022-01-07,14.0,18.0,6.0,1.0,6.0,6.0,11.0,2.0,12.0,4.0,2.0,88.0
2022-01-08,20.0,20.0,6.0,2.0,9.0,4.0,22.0,1.0,19.0,4.0,8.0,84.0
2022-01-09,27.0,33.0,8.0,1.0,5.0,2.0,56.0,5.0,33.0,5.0,0.0,170.0
2022-01-10,23.0,18.0,1.0,1.0,4.0,2.0,11.0,3.0,14.0,4.0,0.0,86.0
2022-01-11,15.0,17.0,6.0,2.0,3.0,8.0,17.0,4.0,17.0,9.0,5.0,72.0
2022-01-13,15.0,22.0,2.0,4.0,10.0,6.0,20.0,0.0,7.0,2.0,1.0,68.0
2022-01-14,19.0,15.0,2.0,0.0,8.0,5.0,27.0,2.0,19.0,4.0,5.0,85.0
2022-01-15,27.0,16.0,5.0,2.0,3.0,4.0,26.0,6.0,22.0,5.0,2.0,103.0
